AlgorithmName;ModelPath;AccuracyMacro;AccuracyMicro;TotalTests;CorrectlyClassified;CorrectlyTop5;PercentCorrect;PercentTop5Correct
SdcaMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_SdcaMaximumEntropyModel.zip;1;1;236;236;236;1;1
LightGbm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_LightGbmModel.zip;1;1;236;236;236;1;1
SdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_SdcaNonCalibratedModel.zip;1;1;236;236;236;1;1
OvsASdcaLogisticRegression;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsASdcaLogisticRegressionModel.zip;1;1;236;236;236;1;1
OvsASdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsASdcaNonCalibratedModel.zip;1;1;236;236;236;1;1
OvsASgdNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsASgdNonCalibratedModel.zip;1;1;236;236;236;1;1
OvsAAveragedPerceptron;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsAAveragedPerceptronModel.zip;1;1;236;236;236;1;1
OvsAFastTree;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsAFastTreeModel.zip;1;1;236;236;236;1;1
OvsALinearSvm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsALinearSvmModel.zip;1;1;236;236;236;1;1
OvsALightGbm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsALightGbmModel.zip;1;1;236;236;236;1;1
OvsALdSvm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsALdSvmModel.zip;1;1;236;236;236;1;1
PwcSdcaLogisticRegression;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcSdcaLogisticRegressionModel.zip;1;1;236;236;236;1;1
PwcSgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcSgdCalibratedModel.zip;1;1;236;236;236;1;1
PwcFastTree;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcFastTreeModel.zip;1;1;236;236;236;1;1
PwcLinearSvm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcLinearSvmModel.zip;1;1;236;236;236;1;1
PwcLdSvm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcLdSvmModel.zip;1;1;236;236;236;1;1
PwcLightGbm;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcLightGbmModel.zip;0,9975;0,9957627118644068;236;235;236;0,9957627058029175;1
PwcAveragedPerceptron;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcAveragedPerceptronModel.zip;0,9825;0,9830508474576272;236;232;235;0,9830508232116699;0,9957627058029175
PwcSgdNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcSgdNonCalibratedModel.zip;0,97875;0,9788135593220338;236;231;236;0,9788135886192322;1
OvsAFastForest;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsAFastForestModel.zip;0,9625;0,9661016949152542;236;228;236;0,9661017060279846;1
OvsASgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_OvsASgdCalibratedModel.zip;0,9225;0,9279661016949152;236;219;236;0,9279661178588867;1
PwcFastForest;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcFastForestModel.zip;0,9116666666666667;0,8771186440677966;236;207;234;0,8771186470985413;0,991525411605835
PwcSdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_PwcSdcaNonCalibratedModel.zip;0,1;0,22033898305084745;236;52;204;0,22033898532390594;0,8644067645072937
LbfgsMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_LbfgsMaximumEntropyModel.zip;0,0975;0,21610169491525424;236;51;80;0,21610169112682343;0,33898305892944336
NaiveBayes;C:\Users\max\source\repos\masterthesis\Experiments\KBARecommendationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\KBANumber_itsm_NaiveBayesModel.zip;0,02;0,06779661016949153;236;16;60;0,06779661029577255;0,2542372941970825
